precision	recall	threshold	method
4.06345067362	100.0	0.0	fathmm_noncoding
4.06345067362	100.0	0.01	fathmm_noncoding
4.06374501992	100.0	0.02	fathmm_noncoding
4.06462831474	100.0	0.03	fathmm_noncoding
4.06993615786	100.0	0.04	fathmm_noncoding
4.08178114086	100.0	0.05	fathmm_noncoding
4.1065807774	100.0	0.06	fathmm_noncoding
4.13155949741	99.6434937611	0.07	fathmm_noncoding
4.16105373447	99.1087344029	0.08	fathmm_noncoding
4.21581310403	98.752228164	0.09	fathmm_noncoding
4.29347826087	98.5739750446	0.1	fathmm_noncoding
4.37689002069	98.0392156863	0.11	fathmm_noncoding
4.44280805106	96.7914438503	0.12	fathmm_noncoding
4.54391891892	95.9001782531	0.13	fathmm_noncoding
4.67939132729	94.8306595365	0.14	fathmm_noncoding
4.90632535708	94.2959001783	0.15	fathmm_noncoding
5.10424862313	92.513368984	0.16	fathmm_noncoding
5.37555228277	91.0873440285	0.17	fathmm_noncoding
5.72467060427	89.8395721925	0.18	fathmm_noncoding
6.09425117197	88.0570409982	0.19	fathmm_noncoding
6.47539884703	86.0962566845	0.2	fathmm_noncoding
7.00976042591	84.4919786096	0.21	fathmm_noncoding
7.44784876141	81.4616755793	0.22	fathmm_noncoding
8.05585392052	80.2139037433	0.23	fathmm_noncoding
8.74676230325	78.2531194296	0.24	fathmm_noncoding
9.51337132836	77.3618538324	0.25	fathmm_noncoding
10.0695276912	74.8663101604	0.26	fathmm_noncoding
10.8627038401	73.6185383244	0.27	fathmm_noncoding
11.5122228539	72.192513369	0.28	fathmm_noncoding
12.2361578464	71.3012477718	0.29	fathmm_noncoding
12.8497072219	70.4099821747	0.3	fathmm_noncoding
13.4083930399	70.0534759358	0.31	fathmm_noncoding
13.8759411976	68.9839572193	0.32	fathmm_noncoding
14.2484147706	68.0926916221	0.33	fathmm_noncoding
14.6417445483	67.0231729055	0.34	fathmm_noncoding
15.0	66.3101604278	0.35	fathmm_noncoding
15.3019023987	65.9536541889	0.36	fathmm_noncoding
15.6462585034	65.5971479501	0.37	fathmm_noncoding
15.8123370982	64.8841354724	0.38	fathmm_noncoding
16.1620658949	64.7058823529	0.39	fathmm_noncoding
16.2895927602	64.1711229947	0.4	fathmm_noncoding
16.47597254	64.1711229947	0.41	fathmm_noncoding
16.7678654834	63.9928698752	0.42	fathmm_noncoding
17.0476190476	63.8146167558	0.43	fathmm_noncoding
17.1814671815	63.4581105169	0.44	fathmm_noncoding
17.4168297456	63.4581105169	0.45	fathmm_noncoding
17.5742574257	63.2798573975	0.46	fathmm_noncoding
17.6529588766	62.7450980392	0.47	fathmm_noncoding
17.8770949721	62.7450980392	0.48	fathmm_noncoding
17.9907739621	62.5668449198	0.49	fathmm_noncoding
18.1583031557	62.5668449198	0.5	fathmm_noncoding
18.2722513089	62.2103386809	0.51	fathmm_noncoding
18.3544303797	62.0320855615	0.52	fathmm_noncoding
18.4811471057	62.0320855615	0.53	fathmm_noncoding
18.669527897	62.0320855615	0.54	fathmm_noncoding
18.7601078167	62.0320855615	0.55	fathmm_noncoding
18.8586956522	61.8538324421	0.56	fathmm_noncoding
18.8834154351	61.4973262032	0.57	fathmm_noncoding
18.9398122584	61.1408199643	0.58	fathmm_noncoding
19.0423162584	60.9625668449	0.59	fathmm_noncoding
19.1896454699	60.7843137255	0.6	fathmm_noncoding
19.1609977324	60.2495543672	0.61	fathmm_noncoding
19.2592592593	60.2495543672	0.62	fathmm_noncoding
19.4348327566	60.0713012478	0.63	fathmm_noncoding
19.6261682243	59.8930481283	0.64	fathmm_noncoding
19.7290930506	59.7147950089	0.65	fathmm_noncoding
19.881305638	59.7147950089	0.66	fathmm_noncoding
20.0119474313	59.7147950089	0.67	fathmm_noncoding
20.229468599	59.7147950089	0.68	fathmm_noncoding
20.4019488429	59.7147950089	0.69	fathmm_noncoding
20.5538461538	59.5365418895	0.7	fathmm_noncoding
20.6939281289	59.5365418895	0.71	fathmm_noncoding
20.6616729089	59.0017825312	0.72	fathmm_noncoding
20.8045254557	59.0017825312	0.73	fathmm_noncoding
20.9125475285	58.8235294118	0.74	fathmm_noncoding
21.0391276459	58.4670231729	0.75	fathmm_noncoding
21.2023270847	58.4670231729	0.76	fathmm_noncoding
21.3168187744	58.2887700535	0.77	fathmm_noncoding
21.4614878209	58.110516934	0.78	fathmm_noncoding
21.6755319149	58.110516934	0.79	fathmm_noncoding
21.7888365837	57.7540106952	0.8	fathmm_noncoding
21.9727891156	57.5757575758	0.81	fathmm_noncoding
22.1153846154	57.3975044563	0.82	fathmm_noncoding
22.2144846797	56.862745098	0.83	fathmm_noncoding
22.6105563481	56.5062388592	0.84	fathmm_noncoding
22.8985507246	56.3279857398	0.85	fathmm_noncoding
23.298816568	56.1497326203	0.86	fathmm_noncoding
23.7481031866	55.7932263815	0.87	fathmm_noncoding
23.9875389408	54.9019607843	0.88	fathmm_noncoding
24.088748019	54.1889483066	0.89	fathmm_noncoding
24.6103363413	53.4759358289	0.9	fathmm_noncoding
25.3833049404	53.11942959	0.91	fathmm_noncoding
25.935828877	51.871657754	0.92	fathmm_noncoding
26.8978444236	51.1586452763	0.93	fathmm_noncoding
27.9559118236	49.7326203209	0.94	fathmm_noncoding
29.4182217344	47.7718360071	0.95	fathmm_noncoding
32.5945241199	44.5632798574	0.96	fathmm_noncoding
38.3161512027	39.7504456328	0.97	fathmm_noncoding
48.5875706215	30.6595365419	0.98	fathmm_noncoding
59.2857142857	14.7950089127	0.99	fathmm_noncoding
	0.0	1.0	fathmm_noncoding
4.06345067362	100.0	0.0	fathmm_coding
4.52503743138	96.9696969697	0.01	fathmm_coding
5.03905505811	94.2959001783	0.02	fathmm_coding
5.59167750325	91.9786096257	0.03	fathmm_coding
6.01258165981	88.5918003565	0.04	fathmm_coding
6.59802194825	86.8092691622	0.05	fathmm_coding
7.10023866348	84.8484848485	0.06	fathmm_coding
7.64821487062	83.2442067736	0.07	fathmm_coding
8.24558272354	82.3529411765	0.08	fathmm_coding
8.68385345997	79.8573975045	0.09	fathmm_coding
9.24299456294	78.7878787879	0.1	fathmm_coding
9.77967625899	77.5401069519	0.11	fathmm_coding
10.3955619875	76.8270944742	0.12	fathmm_coding
11.0311133968	76.4705882353	0.13	fathmm_coding
11.5384615385	75.4010695187	0.14	fathmm_coding
12.0958429561	74.688057041	0.15	fathmm_coding
12.5339776503	73.9750445633	0.16	fathmm_coding
13.1142310147	73.2620320856	0.17	fathmm_coding
13.6106489185	72.9055258467	0.18	fathmm_coding
14.0927977839	72.5490196078	0.19	fathmm_coding
14.4396551724	71.6577540107	0.2	fathmm_coding
14.7955390335	70.944741533	0.21	fathmm_coding
15.1724137931	70.5882352941	0.22	fathmm_coding
15.5546782471	70.2317290553	0.23	fathmm_coding
15.8878504673	69.696969697	0.24	fathmm_coding
16.3034367142	69.3404634581	0.25	fathmm_coding
16.7677642981	68.9839572193	0.26	fathmm_coding
17.2057502246	68.2709447415	0.27	fathmm_coding
17.3413063477	67.201426025	0.28	fathmm_coding
17.6581680831	66.6666666667	0.29	fathmm_coding
18.0240963855	66.6666666667	0.3	fathmm_coding
18.2222222222	65.7754010695	0.31	fathmm_coding
18.4568835098	65.2406417112	0.32	fathmm_coding
18.7339166238	64.8841354724	0.33	fathmm_coding
19.0251572327	64.7058823529	0.34	fathmm_coding
19.2719486081	64.1711229947	0.35	fathmm_coding
19.520174482	63.8146167558	0.36	fathmm_coding
19.7783933518	63.6363636364	0.37	fathmm_coding
